-3,643624802820648
-3,4903753563833417
-2,1701547175962865
-8,806797492285865
3,6237545480377964
4,2031665915472605
8,483276906395258
-0,11151282297093879
6,527513830064912
-0,4856886339034965
4,786964341328359
3,2262441698732953
-8,498759279253562
-2,4540069561825746
-1,0375271820790584
0,030854730879033454
6,243419224627093
3,3158524855271043
-3,7263852751861055
2,759302409437556
9,373807066884407
2,4273343885309213
-5,560958674631431
-0,45944629378959156
-7,584851207473897
-3,4213417969075284
0,8494396314821593
2,5009920839314823
-9,132735743422465
6,082850203979206
1,621808900897527
-3,712680296000257
